target_id,kepid,target_name,kepoi_name,kepler_name,mission,class_label,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_time0bk,koi_model_snr,koi_depth,koi_impact,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,source_catalog,dataset_version,selection_seed
KIC 2306740,2306740,K06265.01,K06265.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.306982793,11.4277,143.7331641,3691.9,341790.0,0.564,81.21,5912.0,4.225,1.217,13.545,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 2437149,2437149,K03598.01,K03598.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,18.79862195,7.4782,138.028268,551.3,380200.0,0.524,55.07,5334.0,4.585,0.796,17.628,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 2438061,2438061,K06270.01,K06270.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.442941283,4.1847,132.011468,229.7,37338.0,1.164,48.18,5780.0,4.438,1.0,,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 2440757,2440757,K00792.01,K00792.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.433769925,1.8868,170.403536,112.6,1976.3,1.268,46.58,6017.0,4.22,1.339,15.122,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 2449090,2449090,K03702.01,K03702.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.944046127,4.50334,134.192012,537.2,112500.0,0.964,54.29,5780.0,4.438,1.0,16.237,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 2557430,2557430,K06277.01,K06277.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.648868342,2.82428,131.842892,477.0,34770.0,1.172,72.32,6531.0,4.12,1.524,11.471,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 2711597,2711597,K04746.01,K04746.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.98041685,0.919,131.78321,8.8,105.7,0.446,0.75,4861.0,4.572,0.722,14.484,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3120320,3120320,K06307.01,K06307.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.265613245,5.67553,136.4886955,5640.0,150460.0,0.667,61.45,5865.0,4.169,1.423,10.885,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3124420,3124420,K03918.01,K03918.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0.948951607,4.3809,132.468516,437.1,458460.0,0.959,115.31,5780.0,4.438,1.0,18.241,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
KIC 3230227,3230227,K06311.01,K06311.01,,Kepler,binary,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.047106212,3.16223,132.75015,548.5,69626.0,1.077,119.64,8162.0,3.973,2.321,9.002,NASA Exoplanet Archive KOI Cumulative Table,v1_600,42
